district,incumbent,winner,status,dem_votes,gop_votes,other_votes,dem_pct,gop_pct,other_pct,margin,swing_from_pres20,pct_of_2020_turnout
AK-01,1,Mary Peltola (D),Democratic hold,137263,112471,0,0.55,0.45,0,D+9.9,D+20,0.7
AL-01,-1,Jerry Carl (R),Republican hold,,140592,27558,0,0.836,0.164,R+83.6,R+55.4,0.51
AL-02,-1,Barry Moore (R),Republican hold,58014,137460,3487,0.292,0.691,0.018,R+39.9,R+10.6,0.62
AL-03,-1,Mike Rogers (R),Republican hold,47859,135602,6945,0.251,0.712,0.036,R+46.1,R+12.1,0.6
AL-04,-1,Robert Aderholt (R),Republican hold,26694,164655,4384,0.136,0.841,0.022,R+70.5,R+8.8,0.6
AL-05,0,Dale Strong (R),Republican hold,62740,142435,7142,0.296,0.671,0.034,R+37.5,R+10.5,0.61
AL-06,-1,Gary Palmer (R),Republican hold,,154233,29970,0,0.837,0.163,R+83.7,R+53.9,0.52
AL-07,1,Terri Sewell (D),Democratic hold,123233,67416,3291,0.635,0.348,0.017,D+28.8,R+3.3,0.59
AR-01,-1,Rick Crawford (R),Republican hold,54598,153774,,0.262,0.738,0,R+47.6,R+6.7,0.73
AR-02,-1,French Hill (R),Republican hold,86887,147975,11584,0.353,0.6,0.047,R+24.8,R+11.7,0.74
AR-03,-1,Steve Womack (R),Republican hold,73541,142401,7646,0.329,0.637,0.034,R+30.8,R+7.4,0.75
AR-04,-1,Bruce Westerman (R),Republican hold,56745,153850,6101,0.262,0.71,0.028,R+44.8,R+9.6,0.73
AZ-01,-1,David Schweikert (R),Republican hold,179141,182336,,0.496,0.504,0,R+0.9,R+2.4,0.78
AZ-02,1,Eli Crane (R),Republican gain,149151,174169,76,0.461,0.539,0,R+7.7,D+0.1,0.8
AZ-03,1,Ruben Gallego (D),Democratic hold,108599,32475,,0.77,0.23,0,D+54,D+3.3,0.62
AZ-04,1,Greg Stanton (D),Democratic hold,148941,116521,36,0.561,0.439,0,D+12.2,D+1.9,0.72
AZ-05,-1,Andy Biggs (R),Republican hold,120275,182464,18851,0.374,0.567,0.059,R+19.3,R+3,0.77
AZ-06,0,Juan Ciscomani (R),Republican gain,172040,177201,42,0.493,0.507,0,R+1.5,R+1.5,0.8
AZ-07,1,Raúl Grijalva (D),Democratic hold,126418,69444,,0.645,0.355,0,D+29.1,R+3.7,0.66
AZ-08,-1,Debbie Lesko (R),Republican hold,7158,197555,,0.035,0.965,0,R+93,R+79.5,0.51
AZ-09,-1,Paul Gosar (R),Republican hold,4389,192796,,0.022,0.978,0,R+95.5,R+69.8,0.54
CA-01,-1,Doug LaMalfa (R),Republican hold,93386,152839,,0.379,0.621,0,R+24.1,R+5.2,0.71
CA-02,1,Jared Huffman (D),Democratic hold,229720,79029,,0.744,0.256,0,D+48.8,R+0.7,0.73
CA-03,0,Kevin Kiley (R),Republican hold,156761,181438,,0.464,0.536,0,R+7.3,R+5.5,0.76
CA-04,1,Mike Thompson (D),Democratic hold,176900,84007,,0.678,0.322,0,D+35.6,R+1,0.7
CA-05,-1,Tom McClintock (R),Republican hold,109465,173464,,0.387,0.613,0,R+22.6,R+10.3,0.71
CA-06,1,Ami Bera (D),Democratic hold,121058,95325,,0.559,0.441,0,D+11.9,R+6.5,0.65
CA-07,1,Doris Matsui (D),Democratic hold,150618,70033,,0.683,0.317,0,D+36.5,R+0.6,0.65
CA-08,1,John Garamendi (D),Democratic hold,145501,46634,,0.757,0.243,0,D+51.5,R+2.5,0.6
CA-09,1,Josh Harder (D),Democratic hold,95598,78802,,0.548,0.452,0,D+9.6,R+3,0.61
CA-10,1,Mark DeSaulnier (D),Democratic hold,198415,,52965,0.789,0,0.211,D+78.9,D+39.6,0.61
CA-11,1,Nancy Pelosi (D),Democratic hold,220848,42217,,0.84,0.16,0,D+67.9,R+6.7,0.67
CA-12,1,Barbara Lee (D),Democratic hold,217110,22859,,0.905,0.095,0,D+80.9,D+0.2,0.65
CA-13,0,John Duarte,Republican gain,66476,67041,,0.498,0.502,0,R+0.4,R+11.3,0.58
CA-14,1,Eric Swalwell (D),Democratic hold,137491,60803,,0.693,0.307,0,D+38.7,R+6.8,0.59
CA-15,0,Kevin Mullin (D),Democratic hold,194803,,,1,0,0,D+100,D+42.7,0.56
CA-16,1,Anna Eshoo (D),Democratic hold,240841,,,1,0,0,D+100,D+47,0.63
CA-17,1,Ro Khanna (D),Democratic hold,127780,52360,,0.709,0.291,0,D+41.9,R+5.6,0.6
CA-18,1,Zoe Lofgren (D),Democratic hold,99716,51715,,0.658,0.342,0,D+31.7,R+12.3,0.57
CA-19,1,Jimmy Panetta (D),Democratic hold,193733,87924,,0.688,0.312,0,D+37.6,R+2,0.68
CA-20,-1,Kevin McCarthy (R),Republican hold,74807,153646,,0.327,0.673,0,R+34.5,R+9.6,0.65
CA-21,1,Jim Costa (D),Democratic hold,67924,57461,,0.542,0.458,0,D+8.3,R+11.9,0.55
CA-22,-1,David Valadao (R),Republican hold,49722,52849,,0.485,0.515,0,R+3,R+15.9,0.55
CA-23,-1,Jay Obernolte (R),Republican hold,65870,103137,,0.39,0.61,0,R+22.1,R+12.2,0.57
CA-24,1,Salud Carbajal (D),Democratic hold,152498,98692,,0.607,0.393,0,D+21.4,R+7.6,0.66
CA-25,1,Raul Ruiz (D),Democratic hold,87641,65101,,0.574,0.426,0,D+14.8,R+0.6,0.58
CA-26,1,Julia Brownley (D),Democratic hold,134197,111893,,0.545,0.455,0,D+9.1,R+10.9,0.65
CA-27,-1,Mike Garcia (R),Republican hold,91892,104624,,0.468,0.532,0,R+6.5,R+18.8,0.58
CA-28,1,Judy Chu (D),Democratic hold,150058,76482,,0.662,0.338,0,D+32.5,R+1.4,0.61
CA-29,1,Tony Cardenas (D),Democratic hold,119435,,,1,0,0,D+100,D+48.7,0.44
CA-30,1,Adam Schiff (D),Democratic hold,211068,,,1,0,0,D+100,D+53.8,0.56
CA-31,1,Grace Napolitano (D),Democratic hold,91472,62153,,0.595,0.405,0,D+19.1,R+11.9,0.5
CA-32,1,Brad Sherman (D),Democratic hold,167410,74617,,0.692,0.308,0,D+38.3,R+2.4,0.62
CA-33,1,Pete Aguilar (D),Democratic hold,76543,56087,,0.577,0.423,0,D+15.4,R+9.9,0.49
CA-34,1,Jimmy Gomez (D),Democratic hold,121467,,,1,0,0,D+100,D+35.8,0.48
CA-35,1,Norma Torres (D),Democratic hold,75089,55802,,0.574,0.426,0,D+14.7,R+13.2,0.48
CA-36,1,Ted Lieu (D),Democratic hold,194299,84264,,0.698,0.302,0,D+39.5,R+4.6,0.66
CA-37,0,Sydney Kamlager (D),Democratic hold,131880,,,1,0,0,D+100,D+26.7,0.47
CA-38,1,Linda Sanchez (D),Democratic hold,101260,73051,,0.581,0.419,0,D+16.2,R+14,0.51
CA-39,1,Mark Takano (D),Democratic hold,75896,55701,,0.577,0.423,0,D+15.3,R+10.8,0.49
CA-40,-1,Young Kim (R),Republican hold,122719,161579,,0.432,0.568,0,R+13.7,R+15.5,0.67
CA-41,-1,Ken Calvert (R),Republican hold,112769,123869,,0.477,0.523,0,R+4.7,R+3.6,0.64
CA-42,0,Robert Garcia (D),Democratic hold,99217,45903,,0.684,0.316,0,D+36.7,R+9.1,0.5
CA-43,1,Maxine Waters (D),Democratic hold,95462,27985,,0.773,0.227,0,D+54.7,R+9.1,0.46
CA-44,1,Nanette Barragan (D),Democratic hold,100160,38554,,0.722,0.278,0,D+44.4,R+3.8,0.47
CA-45,-1,Michelle Steel (R),Republican hold,103466,113958,,0.476,0.524,0,R+4.8,R+11,0.61
CA-46,1,Lou Correa (D),Democratic hold,78041,48257,,0.618,0.382,0,D+23.6,R+6.8,0.5
CA-47,1,Katie Porter (D),Democratic hold,137374,128261,,0.517,0.483,0,D+3.4,R+7.6,0.68
CA-48,-1,Darrell Issa (R),Republican hold,101892,155161,,0.396,0.604,0,R+20.7,R+8.4,0.66
CA-49,1,Mike Levin (D),Democratic hold,153521,138189,,0.526,0.474,0,D+5.3,R+6.2,0.72
CA-50,1,Scott Peters (D),Democratic hold,168787,99813,,0.628,0.372,0,D+25.7,R+7.4,0.67
CA-51,1,Sara Jacobs (D),Democratic hold,144167,88875,,0.619,0.381,0,D+23.7,R+3.6,0.63
CA-52,1,Juan Vargas (D),Democratic hold,100667,50323,,0.667,0.333,0,D+33.3,R+3.5,0.5
CO-01,1,Diana DeGette (D),Democratic hold,226929,49529,6157,0.803,0.175,0.022,D+62.8,D+1.5,0.71
CO-02,1,Joe Neguse (D),Democratic hold,244107,97700,7032,0.7,0.28,0.02,D+42,D+2.1,0.78
CO-03,-1,Lauren Boebert (R),Republican hold,163293,163839,,0.499,0.501,0,R+0.2,D+8.1,0.79
CO-04,-1,Ken Buck (R),Republican hold,129619,216024,8870,0.366,0.609,0.025,R+24.4,R+5.8,0.8
CO-05,-1,Doug Lamborn (R),Republican hold,111978,155528,10449,0.403,0.56,0.038,R+15.7,R+5.6,0.74
