district,pct_college
NY-12,78.8
VA-11,65.2
VA-8,62.8
WA-7,62.4
CA-11,61.8
MD-8,61.6
CA-36,61.5
CA-16,60.3
IL-5,60.3
MA-5,59.5
CA-17,57.7
NY-10,57.7
TX-37,56.5
NC-2,56.4
CA-50,56.2
CO-2,56
GA-6,56
CA-47,54.9
NJ-11,54.7
VA-10,52.2
CA-10,52
IL-9,51.3
NJ-5,51.2
NJ-7,51
MD-3,50.4
KS-3,50.3
TX-24,50.2
CA-12,49.7
CT-4,49.7
CO-1,49.5
CA-40,49.2
MI-6,49.2
TX-38,49
GA-5,48.7
MN-3,48.6
CA-32,48.5
WA-1,48.1
MA-8,48
NY-3,47.8
AZ-1,47.6
MA-4,47.4
TX-7,47.3
MI-11,47.1
CA-30,46.9
MN-5,46.8
TX-3,46.7
VA-1,46.6
MA-6,46.2
MO-2,46.2
NJ-12,46.1
OR-1,46
NY-17,45.7
PA-4,45.4
NC-14,45.3
MA-7,45.1
CA-15,45
PA-6,44.9
CA-28,44.6
IL-10,44.5
WI-2,43.9
CA-49,43.8
MD-2,43.8
CA-14,43.7
NY-16,43.7
TN-5,43.6
MN-4,43.5
CO-4,43.3
CA-19,43.1
OH-3,43.1
NY-1,43
MA-2,42.9
CO-7,42.8
TX-26,42.8
IL-11,42.6
IL-7,42.4
OH-1,42.4
TX-22,42.4
NJ-3,42.3
CA-51,41.9
IL-6,41.8
NY-4,41.6
CO-6,41.4
PA-1,41.3
PA-17,41.2
TX-21,41
NC-4,40.9
UT-3,40.8
MN-2,40.5
FL-23,40.4
FL-5,40
NJ-6,39.9
NE-2,39.8
TX-4,39.8
CA-2,39.7
GA-11,39.6
GA-4,39.3
ME-1,38.9
PA-5,38.9
GA-7,38.8
MD-5,38.7
CO-5,38.6
NY-20,38.6
NY-25,38.3
WA-8,38.1
WA-9,38.1
NY-7,38
VT-1,38
CA-3,37.9
OR-3,37.7
IN-5,37.5
MD-6,37.5
PA-12,37.5
NH-1,37.3
PA-3,37.3
TX-2,37.1
IL-8,37
WI-5,36.9
AZ-5,36.8
FL-27,36.8
SC-1,36.8
AL-6,36.6
CT-5,36.6
FL-25,36.6
TX-10,36.6
CT-3,36.5
NH-2,36.5
NC-12,36.5
CT-1,36.4
MA-3,36.4
TX-32,36.3
NM-1,36.1
NJ-8,35.7
NC-5,35.7
UT-1,35.7
NY-6,35.6
MA-9,35.5
HI-1,35.4
CA-45,35.2
CT-2,35.2
MT-1,35.2
NJ-4,35.1
AZ-6,35
CA-26,35
AZ-4,34.9
CA-24,34.9
KY-6,34.8
NY-11,34.8
OK-5,34.6
MI-7,34.2
MO-1,34.2
OH-7,34.1
OR-5,34.1
VA-7,34.1
NY-9,34
NE-1,33.9
MI-3,33.8
VA-2,33.7
FL-22,33.6
KY-3,33.6
NC-13,33.5
IA-3,33.3
MN-6,33.3
AL-5,33.1
SC-2,33.1
FL-10,32.9
RI-2,32.9
TX-31,32.9
CA-4,32.8
FL-7,32.8
FL-19,32.8
IL-3,32.8
NY-26,32.5
OR-6,32.4
MO-5,32.2
NY-18,32.2
DE-1,32
NJ-1,32
SC-4,32
IN-7,31.9
MD-1,31.9
NY-22,31.9
NY-13,31.6
MO-3,31.5
TX-12,31.5
FL-11,31.4
FL-14,31.4
FL-21,31.4
NC-6,31.4
CA-7,31.3
LA-1,31.2
NY-8,31.2
NC-11,31.2
PA-10,31.1
RI-1,31.1
FL-16,30.9
TN-2,30.9
CA-48,30.8
OH-15,30.8
IL-14,30.6
MD-4,30.6
OK-1,30.6
OH-13,30.5
NJ-9,30.4
AR-2,30.3
UT-4,30.3
NY-19,30.1
AZ-8,30
NV-3,30
ND-1,30
VA-5,30
LA-6,29.9
OR-4,29.8
FL-15,29.7
HI-2,29.7
ID-2,29.7
IL-13,29.7
MA-1,29.7
IL-1,29.6
WA-5,29.6
AK-1,29.5
KS-4,29.5
CO-3,29.4
MI-4,29.4
MN-1,29.3
NJ-10,29.3
TN-7,29.3
OH-10,29.2
UT-2,29.2
FL-13,29.1
IA-1,29.1
